SEASON,TEAM,TEAM_CLEANED,PLAYER,NUMBER,AGE,POSITION,POSITION_TYPE,VALUE_EUR,PLAYER_LINK,NATIONALITY
2016,Melaka United FC,Melaka United FC,Shahdan Sulaiman,-,27,Defensive Midfield,Midfielders,60.0,https://www.transfermarkt.com/shahdan-sulaiman/profil/spieler/150412,Singapore
2016,Melaka United FC,Melaka United FC,Rashid Mahmud,-,37,Defensive Midfield,Midfielders,61.0,https://www.transfermarkt.com/rashid-mahmud/profil/spieler/483501,Malaysia
2016,Melaka United FC,Melaka United FC,Akmal Ishak,-,21,Midfielder,Forwards,63.0,https://www.transfermarkt.com/akmal-ishak/profil/spieler/215326,Malaysia
2016,Melaka United FC,Melaka United FC,Mohd Azrul Ahmad,-,30,Defensive Midfield,Forwards,64.0,https://www.transfermarkt.com/mohd-azrul-ahmad/profil/spieler/483611,Malaysia
2016,Melaka United FC,Melaka United FC,Tiago Gomes,-,30,Central Midfield,Forwards,1200000.0,https://www.transfermarkt.com/tiago-gomes/profil/spieler/42968,Portugal
2016,Melaka United FC,Melaka United FC,Khairu Azrin,-,24,Central Midfield,Forwards,66.0,https://www.transfermarkt.com/khairu-azrin/profil/spieler/483503,Malaysia
2016,Melaka United FC,Melaka United FC,Ezrie Shafizie Sazali,8,29,Central Midfield,Forwards,67.0,https://www.transfermarkt.com/ezrie-shafizie-sazali/profil/spieler/483506,Malaysia
2016,Melaka United FC,Melaka United FC,Syed Sobri,-,21,Right Midfield,Forwards,68.0,https://www.transfermarkt.com/syed-sobri/profil/spieler/483507,Malaysia
2016,Melaka United FC,Melaka United FC,Farderin Kadir,-,28,Attacking Midfield,Forwards,69.0,https://www.transfermarkt.com/farderin-kadir/profil/spieler/224382,Malaysia
2016,Melaka United FC,Melaka United FC,Sergio Aguero,-,21,Attacking Midfield,Forwards,70.0,https://www.transfermarkt.com/sergio-aguero/profil/spieler/354081,Argentina
