Team,Player,Number,Age,Position,Group Position,Nationality,ValueEUR
Kedah Darul Aman FC,Ifwat Akmal,25,19,Goalkeeper,Goalkeeper,Malaysia,90.0
Kedah Darul Aman FC,Asri Muhamad,31,17,Goalkeeper,Goalkeeper,Malaysia,91.0
Kedah Darul Aman FC,Zac Anderson,4,24,Centre-Back,Defenders,Australia,350000.0
Kedah Darul Aman FC,Syawal Nordin,2,22,Centre-Back,Defenders,Malaysia,93.0
Kedah Darul Aman FC,Osman Yusoff,5,21,Centre-Back,Defenders,Malaysia,94.0
Kedah Darul Aman FC,Khairul Helmi,13,27,Centre-Back,Defenders,Malaysia,95.0
Kedah Darul Aman FC,Muhammad Syazwan Tajudin,17,21,Centre-Back,Defenders,Malaysia,96.0
Kedah Darul Aman FC,Fitri Omar,-,30,Left-Back,Defenders,Malaysia,97.0
Kedah Darul Aman FC,Asri Mardzuki,24,21,Left-Back,Defenders,Malaysia,98.0
Kedah Darul Aman FC,Ariff Farhan,27,19,Left-Back,Defenders,Malaysia,99.0
Kedah Darul Aman FC,Raphi Azizan,-,19,Right-Back,Defenders,Malaysia,100.0
Kedah Darul Aman FC,Rizal Ghazali,15,23,Right-Back,Defenders,Malaysia,101.0
Kedah Darul Aman FC,Loqman Hakim,32,17,Right-Back,Defenders,Malaysia,102.0
Kedah Darul Aman FC,Baddrol Bakhtiar,7,27,Central Midfield,Midfielders,Malaysia,103.0
Kedah Darul Aman FC,Akram Mahinan,12,22,Central Midfield,Midfielders,Malaysia,104.0
Kedah Darul Aman FC,Amirul Hisyam,16,20,Central Midfield,Midfielders,Malaysia,105.0
Kedah Darul Aman FC,Halim Saari,18,21,Central Midfield,Midfielders,Malaysia,106.0
Kedah Darul Aman FC,Muhammad Hanif Mat Dzahir,23,21,Central Midfield,Midfielders,Malaysia,107.0
Kedah Darul Aman FC,Zulfahamzie Mohd Tarmizi,38,19,Central Midfield,Midfielders,Malaysia,108.0
Kedah Darul Aman FC,Ken Ilsö,9,29,Attacking Midfield,Midfielders,Denmark,750000.0
Kedah Darul Aman FC,Liridon Krasniqi,8,23,Attacking Midfield,Midfielders,Malaysia,400000.0
Kedah Darul Aman FC,Farhan Roslan,19,19,Left Winger,Midfielders,Malaysia,111.0
Kedah Darul Aman FC,Syazwan Zainon,22,26,Left Winger,Midfielders,Malaysia,112.0
Kedah Darul Aman FC,Akhyar Rashid,33,16,Left Winger,Midfielders,Malaysia,113.0
Kedah Darul Aman FC,Ahmad Fakri Saarani,-,26,Right Winger,Midfielders,Malaysia,114.0
Kedah Darul Aman FC,Sandro Mendonça,10,32,Second Striker,Forwards,Brazil,425000.0
Kedah Darul Aman FC,Syafiq Ahmad,20,20,Second Striker,Forwards,Malaysia,116.0
Kedah Darul Aman FC,Syazuan Hazani,-,21,Striker,Forwards,Malaysia,117.0
Kedah Darul Aman FC,Akmal Azmi,34,17,Centre-Forward,Forwards,Malaysia,118.0
Kedah Darul Aman FC,Hidhir Idris,35,18,Centre-Forward,Forwards,Malaysia,119.0
Kedah Darul Aman FC,Aminuddin Abu Bakar,36,17,Centre-Forward,Forwards,Malaysia,120.0
Selangor FC,Damien Lim,-,18,Goalkeeper,Goalkeeper,Malaysia,121.0
Selangor FC,Khairulazhan Khalid,1,26,Goalkeeper,Goalkeeper,Malaysia,122.0
Selangor FC,Norazlan Razali,21,30,Goalkeeper,Goalkeeper,Malaysia,123.0
Selangor FC,Zarif Irfan,22,20,Goalkeeper,Goalkeeper,Malaysia,124.0
Selangor FC,Ugo Ukah,-,31,Centre-Back,Defenders,Nigeria,400000.0
Selangor FC,Willian Pacheco,-,23,Centre-Back,Defenders,Brazil,126.0
Selangor FC,Amir Asyraf Azhari,-,17,Centre-Back,Defenders,Malaysia,127.0
Selangor FC,Adam Nor Azlin,-,19,Centre-Back,Defenders,Malaysia,128.0
Selangor FC,Amirul Ashraf,6,17,Centre-Back,Defenders,Malaysia,129.0
Selangor FC,Bunyamin Umar,12,27,Centre-Back,Defenders,Malaysia,130.0
Selangor FC,Razman Roslan,13,31,Centre-Back,Defenders,Malaysia,131.0
Selangor FC,Rizal Fahmi Rosid,17,29,Centre-Back,Defenders,Malaysia,132.0
Selangor FC,Mohd Fairuz Abdul Aziz,26,30,Centre-Back,Defenders,Malaysia,133.0
Selangor FC,Tamil Maran,33,18,Centre-Back,Defenders,Malaysia,134.0
Selangor FC,S.Veenod,-,27,Left-Back,Defenders,Malaysia,135.0
Selangor FC,K. Kannan,3,19,Left-Back,Defenders,Malaysia,136.0
Selangor FC,Raimi Md Nor,15,29,Left-Back,Defenders,Malaysia,137.0
Selangor FC,A. Namathevan,2,19,Right-Back,Defenders,Malaysia,138.0
Selangor FC,Syahmi Safari,20,17,Right-Back,Defenders,Malaysia,139.0
Selangor FC,Abdul Halim Zainal,4,27,Central Midfield,Midfielders,Malaysia,140.0
Selangor FC,Saiful Ridzuwan,8,23,Central Midfield,Midfielders,Malaysia,141.0
Selangor FC,K. Sarkunan,16,19,Central Midfield,Midfielders,Malaysia,142.0
Selangor FC,K. Satish,5,21,Right Midfield,Midfielders,Malaysia,143.0
Selangor FC,Fitri Shazwan,24,28,Left Midfield,Midfielders,Malaysia,144.0
Selangor FC,Juliano Mineiro,-,29,Attacking Midfield,Midfielders,Brazil,400000.0
Selangor FC,Joseph Kalang Tie,-,28,Attacking Midfield,Midfielders,Malaysia,146.0
Selangor FC,Victor Astafei,-,28,Left Winger,Midfielders,Romania,450000.0
Selangor FC,Faizzudin Abidin,11,19,Left Winger,Midfielders,Malaysia,148.0
Selangor FC,Ilham Armaiyn,18,19,Left Winger,Midfielders,Indonesia,149.0
Selangor FC,Andik Vermansyah,-,24,Right Winger,Midfielders,Indonesia,150.0
Selangor FC,Amri Yahyah,29,34,Second Striker,Forwards,Malaysia,151.0
Selangor FC,Rufino Segovia,30,30,Centre-Forward,Forwards,Spain,150000.0
Selangor FC,Forkey Doe,10,30,Centre-Forward,Forwards,Liberia,153.0
Selangor FC,Nurshamil Abd Ghani,-,21,Centre-Forward,Forwards,Malaysia,154.0
Selangor FC,Afiq Azmi,19,26,Centre-Forward,Forwards,Malaysia,155.0
Sri Pahang FC,Helmi Eliza,1,32,Goalkeeper,Goalkeeper,Malaysia,156.0
Sri Pahang FC,Mohd Saufi Muhammad,22,23,Goalkeeper,Goalkeeper,Malaysia,157.0
Sri Pahang FC,Wan Azraie,27,29,Goalkeeper,Goalkeeper,Malaysia,158.0
Sri Pahang FC,Jae-won Heo,-,31,Centre-Back,Defenders,"Korea, South",400000.0
Sri Pahang FC,Kiko Insa,9,27,Centre-Back,Defenders,Malaysia,100000.0
Sri Pahang FC,Mohd Saiful Nizam Miswan,3,34,Centre-Back,Defenders,Malaysia,161.0
Sri Pahang FC,Afif Amiruddin,19,31,Centre-Back,Defenders,Malaysia,162.0
Sri Pahang FC,Muslim Ahmad,24,26,Centre-Back,Defenders,Malaysia,163.0
Sri Pahang FC,R. Dinesh,4,17,Left-Back,Defenders,Malaysia,164.0
Sri Pahang FC,Faisal Rosli,14,24,Left-Back,Defenders,Malaysia,165.0
Sri Pahang FC,Zubir Azmi,21,24,Left-Back,Defenders,Malaysia,166.0
Sri Pahang FC,Hilmi Husaini Asmadi,32,20,Left-Back,Defenders,Malaysia,167.0
Sri Pahang FC,Matthew Davies,2,20,Right-Back,Defenders,Malaysia,150000.0
Sri Pahang FC,Ashar Al-Aafiz,30,20,Right-Back,Defenders,Malaysia,169.0
